"...1","POS. 22","POS. '21","RAGIONE SOCIALE","SEDE","PROV","FATTURATO ‘20","FATTURATO ’19","UTILE ‘20","UTILE ’19","ROS ‘20","ROS ‘19","ROE ‘20","ROE ‘19","lat","long"
0,1,"1","DHL (GRUPPO)","Peschiera Borromeo, Italia","MI","1.888.109.013","1.861.017.599","37.953.444","39.399.107","2,01","2,12","N.D.","N.D.",45.4425059,9.3045703113961
1,2,"2","SAVINO DEL BENE GROUP","Firenze, Italia","FI","1.590.659.900","1.601.439.812","35.881.139","27.867.879","2,26","1,74","16,53","14,33",43.7698712,11.2555757
2,3,"3","BRT SPA","Bologna, Italia","BO","1.556.245.416","1.466.412.195","21.543.889","25.709.429","1,38","1,75","28,53","26,93",44.4939334,11.3425798
3,4,"4","TNT GLOBAL EXPRESS","Torino, Italia","TO","1.048.076.896","1.127.616.106","16.886.191","18.783.711","1,61","1,67","16,16","21,44",45.0677551,7.6824892
4,5,"9","SDA EXPRESS COURIER SPA","Roma, Italia","RM","922.421.741","667.015.191","45.457.437","-32.091.290","4,93","-4,81","76,42","-226,38",41.8933203,12.4829321
5,6,"5","FERCAM GROUP (CONS.)","Bolzano, Italia","BZ","814.389.764","831.249.196","10.158.434","4.646.928","1,25","0,56","12,30","10,80",46.65594545,11.2302128708753
6,7,"6","UNITED PARCEL SERVICE ITALIA SRL","Milano, Italia","MI","770.827.747","723.573.906","19.333.568","23.629.699","2,51","3,27","23,50","37,54",45.4641943,9.1896346
7,8,"7","SCHENKER ITALIANA SPA","Peschiera Borromeo, Italia","MI","717.776.683","698.442.473","7.783.486","12.194.434","1,08","1,75","9,89","15,29",45.4425059,9.3045703113961
8,9,"10","DSV SPA","Pioltello, Italia","MI","634.589.445","663.100.635","4.208.683","11.559.844","0,66","1,74","3,12","8,28",45.5010216,9.3263354
9,10,"8","ARCESE TRASPORTI (HOLDING)","Arco, Italia","TN","630.296.451","670.708.519","12.610.067","9.082.660","2,00","1,35","5,62","5,97",45.9181327,10.8860953
10,11,"19","AMAZON ITALIA LOGISTICA SRL","Milano, Italia","MI","608.779.774","365.945.770","16.788.147","13.183.310","2,76","3,60","5,51","5,02",45.4641943,9.1896346
11,12,"13","GLS ITALY (RAGGR.)","San Giuliano Milanese, Italia","MI","599.441.325","579.949.162","33.714.058","65.261.076","5,62","11,25","N.D.","N.D.",45.39427,9.291851
12,13,"11","KUEHNE & NAGEL SPA","Milano, Italia","MI","561.844.006","613.244.343","5.517.080","2.540.811","0,98","0,41","34,64","26,27",45.4641943,9.1896346
13,14,"14","BCUBE SPA","Casale Monferrato, Italia","AL","527.583.589","565.518.812","N.D.","5.656.340","N.D.","1,00","N.D.","N.D.",45.1362661,8.4498127
14,15,"16","J.A.S. JET AIR SERVICE SPA","Segrate, Italia","MI","467.274.748","429.342.747","3.229.491","3.157.327","0,69","0,74","11,76","13,03",45.4907352,9.2948204
15,16,"12","HAVI LOGISTICS SRL","Bomporto, Italia","MO","440.261.859","599.178.289","-236.413","2.451.632","-0,05","0,41","-7,08","39,09",44.72977,11.038401
16,17,"18","GEODIS (AGGR.)","Milano, Italia","MI","400.462.408","377.604.343","3.820.521","3.605.997","0,95","0,95","N.D.","N.D.",45.4641943,9.1896346
17,18,"15","TRANSMEC GROUP (AGGR.)","Campogalliano, Italia","MO","388.500.000","440.800.000","14.800.000","11.500.000","3,81","2,61","N.D.","N.D.",44.6905118,10.8407336
18,19,"17","RHENUS LOGISTICS (CONS.)","Buccinasco, Italia","MI","354.399.000","382.470.273","2.356.000","3.139.416","0,66","0,82","5,74","8,09",45.4223013,9.1082675
19,20,"20","GRUBER (HOLDING)","Ora, Italia","BZ","341.863.232","357.234.534","545.795","1.890.557","0,16","0,53","2,37","5,18",46.3465946,11.2986335
20,21,"26","ITALTRANS SPA","San Paolo d'Argon, Italia","BG","333.971.411","289.986.596","9.030.116","5.767.690","2,70","1,99","12,51","14,66",45.6885572,9.8040661
21,22,"22","CODOGNOTTO GROUP (CONS.)","Salgareda, Italia","TV","313.703.728","320.940.239","2.859.503","2.808.969","0,91","0,88","N.D.","N.D.",45.704123,12.4925871
22,23,"25","NUMBER 1 LOGISTICS (GRP FISI)","Parma, Italia","PR","306.417.206","293.775.358","1.233.973","722.259","0,40","0,25","4,29","2,57",44.8013678,10.3280833
23,24,"23","XPO LOGISTICS (GRUPPO)","Settala, Italia","MI","292.997.006","316.237.780","10.229.862","13.538.726","3,49","4,28","N.D.","N.D.",45.4544127,9.3867659
24,25,"24","S.D.M. SOC. DISTRIB. MERCI SRL","Bologna, Italia","BO","285.233.590","294.879.994","4.987.621","5.062.936","1,75","1,72","3,58","3,77",44.4939334,11.3425798
25,26,"46","NIPPON EXPRESS ITALIA SPA","Scandicci, Italia","FI","281.955.233","143.403.175","8.234.308","3.740.203","2,92","2,61","14,87","15,01",43.7567104,11.1847619
26,27,"21","CEVA LOGISTICS ITALIA SRL","Assago, Italia","MI","276.494.756","326.599.163","-17.115.820","-19.294.433","-6,19","-5,91","-101,61","-107,43",45.4053966,9.1313547
27,28,"N.D.","SMET SPA (CONSOL.)","Salerno, Italia","SA","267.906.315","235.627.751","5.837.852","1.353.700","2,18","0,57","8,35","2,16",40.41944165,15.3107562303225
28,29,"27","STEF ITALIA SPA","San Prospero, Parma, Italia","PR","263.247.553","281.046.128","7.756.942","9.368.467","2,95","3,33","13,92","17,83",44.7842768,10.3978943
29,30,"37","CONSORZIO LOGIST. PACCHI SCPA","Roma, Italia","RM","230.069.601","177.666.966","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",41.8933203,12.4829321
30,31,"31","U. DEL CORONA & SCARDIGLI SRL","Livorno, Italia","LI","208.139.437","189.061.688","5.716.256","5.242.042","2,75","2,77","13,47","14,11",42.7902166,10.340278678735
31,32,"30","ARCO SPEDIZIONI SPA","Monza, Italia","MB","207.746.376","198.131.516","15.572.634","6.367.671","7,50","3,21","25,57","14,36",45.639544,9.27886936922504
32,33,"N.D.","GRUPPO ITALSEMPIONE SPA","Vittuone, Italia","MI","201.593.277","201.312.318","2.906.493","2.868.598","1,44","1,42","12,61","14,33",45.487969,8.952442
33,34,"28","CONTSHIP ITALIA GROUP","Melzo, Italia","MI","197.214.014","275.435.000","29.355.829","63.836.000","14,89","23,18","7,76","28,30",45.4985848,9.4242513
34,35,"32","TORELLO TRASPORTI (CONS.)","Montoro, Italia","AV","196.890.195","182.605.524","1.552.565","990.426","0,79","0,54","6,98","5,82",40.8328763,14.7917765
35,36,"N.D.","PACORINI (GRUPPO)","Trieste, Italia","TS","196.053.000","175.324.000","551.000","-3.799.000","0,28","-2,17","N.D.","N.D.",45.6496485,13.7772781
36,37,"63","SAMAG HOLDING LOGISTICS","Milano, Italia","MI","195.643.211","111.144.231","1.207.885","4.388.240","0,62","3,95","5,30","46,31",45.4641943,9.1896346
37,38,"34","D.B. GROUP SPA (CONS.)","Montebelluna, Italia","TV","189.334.000","180.943.000","4.195.000","3.698.000","2,22","2,04","16,39","20,95",45.7759956,12.0450646
38,39,"39","BRIVIO & VIGANO' HOLDING","Pozzuolo Martesana, Italia","MI","188.579.513","164.925.270","7.731.836","965.809","4,10","0,59","17,96","4,78",45.513975,9.456252
39,40,"29","MERCITALIA INTERMODAL SPA","Milano, Italia","MI","186.061.193","199.208.805","-3.900.224","-2.766.068","-2,10","-1,39","-11,67","-7,41",45.4641943,9.1896346
40,41,"35","ALBINI & PITIGLIANI SPA","Prato, Italia","PO","169.042.592","180.908.851","1.905.043","6.848.225","1,13","3,79","3,00","11,07",43.93571805,11.0941472677009
41,42,"44","DE VIZIA TRANSFER SPA","Torino, Italia","TO","160.986.958","154.589.593","13.748.306","4.827.534","8,54","3,12","25,86","13,54",45.0677551,7.6824892
42,43,"47","INTERGLOBO SRL","Genova, Italia","GE","160.520.987","142.545.706","4.635.557","5.243.354","2,89","3,68","23,57","27,53",44.40726,8.9338624
43,44,"48","BOMI GROUP (CONS.)","Spino d’Adda, Italia","CR","151.933.979","142.000.000","-840.069","N.D.","-0,55","N.D.","N.D.","N.D.",45.3930268,9.48559536665434
44,45,"57","CAL SRL SERVIZI LOGISTICI","San Giuliano Milanese, Italia","MI","149.993.497","120.963.766","1.950.000","1.550.000","1,30","1,28","N.D.","N.D.",45.39427,9.291851
45,46,"40","SUSA SPA","Corciano, Italia","PG","149.553.633","164.554.535","1.414.952","1.229.590","0,95","0,75","6,15","7,11",43.1290269,12.287718
46,47,"41","GIORGIO GORI SRL","Collesalvetti, Italia","LI","148.566.223","161.855.966","7.468.209","13.234.452","5,03","8,18","13,49","27,62",43.588912,10.476264
47,48,"45","AUTA MAROCCHI (CONS.)","Trieste, Italia","TS","148.416.615","146.996.753","6.976.701","5.214.025","4,70","3,55","15,23","13,34",45.6496485,13.7772781
48,49,"64","FAGIOLI SPA","S. Ilario d’Enza, Italia","RE","142.417.913","108.789.060","1.079.834","2.840.191","0,76","2,61","6,81","19,96",44.7605046,10.4498922
49,50,"33","PEZZOLI PETROLI SRL","Bregnano, Italia","CO","138.779.701","181.364.778","1.584.510","733.038","1,14","0,40","10,21","5,08",45.6971263,9.0595206
50,51,"36","GEFCO ITALIA SPA","Pregnana Milanese, Italia","MI","135.526.105","180.511.148","5.592.828","3.761.746","4,13","2,08","43,35","33,98",45.5158489,9.0080123
51,52,"55","TRANS ITALIA","Mercato San Severino, Italia","SA","133.429.247","123.995.441","2.161.712","1.840.251","1,62","1,48","5,68","5,07",40.7833028,14.7557276
52,53,"62","EXPEDITORS INT.L ITALIA SRL","Segrate, Italia","MI","131.111.567","113.079.821","4.355.035","2.561.462","3,32","2,27","80,62","31,83",45.4907352,9.2948204
53,54,"42","GOLDENGAS SPA","Senigallia, Italia","AN","130.383.865","159.247.434","4.111.047","5.871.298","3,15","3,69","4,78","11,01",43.7149517,13.2179488
54,55,"50","T.O. DELTA SPA","Trieste, Italia","TS","128.222.784","133.457.129","2.849.155","867.983","2,22","0,65","12,16","4,22",45.6496485,13.7772781
55,56,"61","TRASPORTI ROMAGNA SPA","Malo, Italia","VI","127.192.320","116.762.606","965.803","-406.518","0,76","-0,35","2,89","-1,40",45.660296,11.407493
56,57,"52","TRANSCOOP COOPERATIVA","Reggio Emilia, Italia","RE","124.356.175","132.130.229","956.306","273.831","0,77","0,21","3,05","0,90",44.608664,10.5947968418927
57,58,"59","BRACCHI SPA","Fara Gera d'Adda, Italia","BG","119.528.261","119.548.850","-1.296.382","822.444","-1,08","0,69","-5,42","3,28",45.555676,9.537853
58,59,"60","CAB LOG SRL","Noale, Italia","VE","116.061.966","117.287.668","305.221","233.959","0,26","0,20","6,47","5,28",45.550156,12.0720437
59,60,"53","SPINELLI GROUP","Genova, Italia","GE","115.351.250","130.820.126","14.517.631","16.556.803","12,59","12,66","38,68","53,83",44.40726,8.9338624
60,61,"54","CON.S.A.R. SOC.COOP. CONS.","Ravenna, Italia","RA","111.700.611","127.834.163","105.150","231.259","0,09","0,18","0,47","1,04",44.3640607,12.0590094908639
61,62,"49","MARCEVAGGI LOGISTIC GROUP","Locate Triulzi, Italia","MI","104.824.146","134.650.586","2.747.355","11.964.410","2,62","8,89","N.D.","N.D.",45.3596816,9.2214959
62,63,"67","G.T.S. GENERAL TRANSPORT SERV.","Bari, Italia","BA","103.612.140","100.668.390","3.698.934","2.560.477","3,57","2,54","23,92","20,72",41.1257843,16.8620293
63,64,"78","KORTIMED SRL","Collesalvetti, Italia","LI","101.767.195","81.809.673","1.976.377","285.194","1,94","0,35","13,82","2,31",43.588912,10.476264
64,65,"110","FOPPIANI SHIPPING & LOGISTICS","Prato, Italia","PO","101.737.548","63.793.361","4.056.444","2.930.299","3,99","4,59","30,31","23,77",43.93571805,11.0941472677009
65,66,"71","FATA LOGISTIC SYSTEMS SPA","Pianezza, Italia","TO","95.428.000","90.777.000","1.057.000","4.707.000","1,11","5,19","21,13","54,47",45.105847,7.543418
66,67,"92","TEMI SRL","Napoli, Italia",NA,"94.307.063","73.971.782","5.989.117","2.007.386","6,35","2,71","58,22","34,63",40.8358846,14.2487679
67,68,"72","ITALMONDO SPA","Milano, Italia","MI","91.501.748","90.705.897","334.025","292.269","0,37","0,32","5,28","4,88",45.4641943,9.1896346
69,69,"68","STANTE GROUP ITALY","Carinaro, Italia","CE","90.709.000","95.600.000","2.992.000","2.200.000","3,30","2,30","N.D.","N.D.",40.9835844,14.2189907
70,70,"58","RABEN SITTAM SRL","Cornaredo, Italia","MI","89.658.981","119.825.512","-8.915.980","-18.872.061","-9,94","-15,75","-657,40","N.D.",45.5016851,9.025746
71,71,"101","BOLLORE' LOGISTICS ITALY","Pantigliate, Italia","MI","88.880.312","70.219.059","388.653","-138.354","0,44","-0,20","8,37","-3,25",45.439548,9.352631
72,72,"56","GRUPPO MERCURIO SPA","San Polo Torrile, Italia","PR","87.509.685","123.085.428","3.961.229","4.890.212","4,53","3,97","11,22","14,83",44.8902978,10.3550043
73,73,"69","A.F. LOGISTICS SPA","Lodi, Italia","LO","87.470.268","93.764.051","591.559","-1.734.548","0,68","-1,85","1,01","-3,81",45.2613104,9.49167806002184
74,74,"70","MULTILOGISTICS SPA","Liscate, Italia","MI","86.489.992","92.128.819","100.752","2.902.260","0,12","3,15","1,65","56,85",45.4815487,9.4090115
75,75,"80","LOGISTICA UNO EUROPE (AGGR.)","Oppeano, Italia","VR","86.300.000","81.105.217","3.800.000","1.475.304","4,40","1,82","N.D.","N.D.",45.3062139,11.1823399
76,76,"73","ZEROQUATTRO LOGISTICA SRL","Bologna, Italia","BO","85.773.175","87.622.625","-2.144.547","1.130.861","-2,50","1,29","-51,63","17,95",44.4939334,11.3425798
77,77,"83","CLO COOP. LAV. ORTOMERCATO","Siziano, Italia","PV","85.760.735","80.030.448","172.913","-737.315","0,20","-0,92","2,09","-9,81",45.3174678,9.2011222
78,78,"75","F.LLI DI MARTINO SPA","Catania, Italia","CT","84.823.306","83.007.691","5.772.264","4.197.864","6,81","5,06","9,63","9,68",37.5023612,15.0873718
79,79,"86","EGL EAGLE GLOBAL LOGISTICS","Milano, Italia","MI","83.181.330","77.478.079","744.159","96.123","0,89","0,12","8,36","1,18",45.4641943,9.1896346
80,80,"82","EURODIFARM SRL","Casalmaiocco, Italia","LO","81.617.016","80.207.185","1.819.627","1.984.914","2,23","2,47","8,73","10,43",45.35387,9.374353
81,81,"84","AGILITY LOGISTICS SRL","Verona, Italia","VR","81.464.712","78.681.923","-905.042","-122.965","-1,11","-0,16","-13,96","-1,66",45.4384958,10.9924122
82,82,"76","ONEEXPRESS ITALIA SRL","Bentivoglio, Italia","BO","81.380.110","82.233.953","1.105.515","1.033.725","1,36","1,26","24,37","26,44",44.6357918,11.4171933
83,83,"81","MESAROLI LOGISTICA","Trevenzuolo, Italia","VR","81.057.804","80.560.831","1.087.426","445.931","1,34","0,55","14,49","6,95",45.2686492,10.9321839
84,84,"88","NAPOLITRANS SRL","Eboli, Italia","SA","80.336.472","76.533.490","6.027.079","2.940.230","7,50","3,84","36,36","27,87",40.6175146,15.0569438
85,85,"104","ITALIAN PALLET NETWORK SRL","Fiorenzuola d'Arda, Italia","PC","79.552.624","68.397.578","2.128.425","1.625.277","2,68","2,38","25,72","37,39",44.9280841,9.9107218
86,86,"102","ELPE GLOBAL LOGISTIC SERV. SPA","Torino, Italia","TO","77.358.061","69.526.621","-1.739.384","790.358","-2,25","1,14","N.D.","211,52",45.0677551,7.6824892
87,87,"90","AMBROGIO TRASPORTI SPA","Gallarate, Italia","VA","76.266.411","76.187.107","-1.203.525","1.070.046","-1,58","1,40","-3,46","4,07",45.6598951,8.7932013
88,88,"120","GRUPPO TGROUP","Nola, Italia",NA,"75.928.166","60.141.070","2.709.936","1.479.393","3,57","2,46","9,00","23,00",40.9210826,14.5327402
89,89,"77","PALLETWAYS ITALIA SRL","Calderara di Reno, Italia","BO","75.391.250","81.914.834","N.D.","-1.491.515","N.D.","-1,82","N.D.","-37,36",44.5630515,11.271693
90,90,"89","LOGTAINER SRL","Genova, Italia","GE","73.654.253","76.318.132","2.542.059","2.696.782","3,45","3,53","32,08","40,97",44.40726,8.9338624
91,91,"79","LANNUTTI SPA","Cuneo, Italia","CN","73.356.642","81.194.110","12.597.694","3.067.682","17,17","3,78","13,35","3,69",44.45807035,7.55813669115162
92,92,"74","GERMANI TRASPORTI","San Zeno Naviglio, Italia","BS","72.292.343","83.030.385","8.493.207","6.409.907","11,75","7,72","16,07","14,44",45.4915723,10.2170575
93,93,"98","BOXLINE UNITED CARGO LINK SRL","Pero, Italia","MI","69.793.958","70.308.858","597.899","142.876","0,86","0,20","39,87","15,85",45.5101617,9.0894415
94,94,"112","SAMER GROUP","Trieste, Italia","TS","68.662.271","62.183.600","2.329.509","1.585.519","3,39","2,55","N.D.","N.D.",45.6496485,13.7772781
95,95,"111","ZETA SYSTEM SRL","Matera, Italia","MT","67.951.621","62.706.448","3.541.324","2.137.093","5,21","3,41","40,23","40,61",40.4476419,16.4735738402885
96,96,"96","MERCITALIA LOGISTICS SPA","Roma, Italia","RM","66.282.702","71.387.677","4.746.899","9.775.158","7,16","13,69","2,39","5,04",41.8933203,12.4829321
97,97,"43","NEXIVE SPA","Milano, Italia","MI","65.261.796","158.981.315","-13.135.599","-39.267.165","-20,13","-24,70","N.D.","N.D.",45.4641943,9.1896346
98,98,"97","J.F. HILLEBRAND ITALIA SPA","Sesto Fiorentino, Italia","FI","65.072.394","70.342.283","1.676.855","2.413.843","2,58","3,43","39,56","48,51",43.831721,11.1992239
99,99,"107","FIEGE LOGISTICS ITALIA SRL","Arese, Italia","VA","64.834.950","66.382.294","3.741.870","3.480.217","5,77","5,24","53,43","61,15",45.5499106,9.0782851
100,100,"95","SNATT (CONS.)","Campegine, Italia","RE","64.041.093","71.987.523","843.616","1.110.748","1,32","1,54","N.D.","N.D.",44.7817335,10.5284188
101,101,"121","LOGICOMPANY 3 SRL (LC3)","Gubbio, Italia","PG","63.757.527","58.603.610","2.818.424","671.099","4,42","1,15","35,54","12,14",43.3517882,12.5772674
102,102,"127","FM ITALIA SRL","Trofarello, Italia","TO","63.454.884","56.910.112","-1.150.880","-360.934","-1,81","-0,63","-124,30","N.D.",44.983646,7.745225
103,103,"103","XLOG SRL","Trevignano, Italia","TV","63.386.000","68.871.000","1.099.000","1.755.000","1,73","2,55","13,24","24,47",45.733501,12.0940161
104,104,"109","INTERMODALTRASPORTI SRL","Ferentino, Italia","FR","63.243.117","64.031.014","2.015.309","1.644.558","3,19","2,57","9,49","10,21",41.692932,13.2534215
105,105,"87","QUICK SERVICE LOGISTICS  SRL","Bolzano, Italia","BZ","62.757.386","76.946.574","718.931","945.473","1,15","1,23","18,77","30,39",46.65594545,11.2302128708753
106,106,"106","STEF NOGAROLE (EX NAGEL ITALIA)","Nogarole Rocca, Italia","VR","61.807.000","67.064.687","1.758.000","1.055.365","2,84","1,57","N.D.","N.D.",45.291882,10.883788
107,107,"117","VISA GLOBAL LOGISTICS","Reggio Emilia, Italia","RE","61.291.097","60.464.554","-1.159.300","237.353","-1,89","0,39","-59,11","7,61",44.608664,10.5947968418927
108,108,"119","SINECO SPA","Follo, Italia","SP","61.079.023","60.268.056","362.590","401.330","0,59","0,67","3,65","3,61",44.1728311,9.8328642
109,109,"105","C.A.B.  CONSORZIO AUTOTRASP.","Noale, Italia","VE","60.834.218","67.160.529","32.019","1.919","0,05","0,00","5,88","0,38",45.550156,12.0720437
110,110,"118","ROBERTO BUCCI SPA","Napoli, Italia",NA,"60.596.132","60.349.968","505.162","248.403","0,83","0,41","6,21","3,40",40.8358846,14.2487679
111,111,"113","BIANCHI & C. SRL","Casnate con Bernate, Italia","CO","60.489.635","61.789.299","2.129.760","1.890.231","3,52","3,06","13,46","9,36",45.76048315,9.07427788377327
112,112,"128","F.LLI DISSEGNA SRL","Rossano Veneto, Italia","VI","60.152.127","56.728.177","-121.570","250.256","-0,20","0,44","-2,45","4,91",45.7052727,11.7997866
113,113,"94","SVAT GROUP","Nogarole Rocca, Italia","VR","60.005.225","73.157.471","1.818.524","2.525.294","3,03","3,45","N.D.","N.D.",45.291882,10.883788
114,114,"138","TRANS ISOLE - SRL","Angri, Italia","SA","59.536.538","53.249.601","5.126.135","2.693.211","8,61","5,06","16,52","13,80",40.7376592,14.5722829
115,115,"153","LCT SPA","Catania, Italia","CT","59.044.983","48.471.000","3.368.746","1.698.140","5,71","3,50","31,37","36,61",37.5023612,15.0873718
116,116,"85","NAVIGAZIONE MONTANARI SPA","Trieste, Italia","TS","58.059.705","78.591.522","3.449.689","4.589.550","5,94","5,84","5,52","7,77",45.6496485,13.7772781
117,117,"129","UNILOG GROUP SPA","Anzola dell'Emilia, Italia","BO","57.733.910","56.682.715","259.428","-1.158.050","0,45","-2,04","12,94","-66,37",44.5466843,11.1933259
118,118,"136","UBV GROUP","Fino Mornasco, Italia","CO","57.716.339","53.412.317","312.025","887.800","0,54","1,66","6,58","17,91",45.742876,9.047639
119,119,"114","GERMANETTI SRL","Alba, Italia","CN","57.605.455","61.673.598","979.843","1.217.405","1,70","1,97","7,79","14,60",44.7007236,8.0357786
120,120,"N.D.","GRENDI LOGISTICA (CONSOL.)","Genova, Italia","GE","57.576.159","51.626.325","2.874.403","3.112.887","4,99","6,03","16,47","26,49",44.40726,8.9338624
121,121,"124","PIGLIACELLI AUTOTRASPORTI","Frosinone, Italia","FR","57.185.053","57.669.323","3.341.111","2.843.690","5,84","4,93","13,32","13,08",41.6285468,13.5758497706237
122,122,"116","TRANS FERRY SPA","Fiorenzuola d'Arda, Italia","PC","57.077.670","61.292.820","3.902.114","3.540.316","6,84","5,78","13,23","13,84",44.9280841,9.9107218
123,123,"144","ADRILOG SOC. COOP.","San Salvo, Italia","CH","57.057.181","50.716.184","223.465","72.878","0,39","0,14","5,33","2,23",42.0433265,14.7272302
124,124,"123","LOGISTICA NIEDDU SRL","Roma, Italia","RM","56.702.893","57.928.404","1.774.659","1.269.299","3,13","2,19","9,76","14,21",41.8933203,12.4829321
125,125,"91","ISS PALUMBO","Livorno, Italia","LI","56.635.101","74.211.186","360.432","3.140.793","0,64","4,23","1,13","9,34",42.7902166,10.340278678735
126,126,"115","ALISPED SPA","Prato, Italia","PO","55.848.136","61.523.981","-978.305","63.789","-1,75","0,10","-41,63","1,92",43.93571805,11.0941472677009
127,127,"N.D.","STEF FROZEN SRL","Parma, Italia","PR","55.783.000","52.885.000","-2.138.000","-2.694.000","-3,83","-5,09","N.D.","N.D.",44.8013678,10.3280833
128,128,"99","HANNIBAL SPA","Melzo, Italia","MI","55.593.278","70.279.654","-1.038.569","590.872","-1,87","0,84","-73,23","19,57",45.4985848,9.4242513
129,129,"125","CHIAPPAROLI LOGISTICA SPA","San Giuliano Milanese, Italia","MI","54.482.434","57.539.129","2.037.033","1.649.161","3,74","2,87","31,91","38,00",45.39427,9.291851
130,130,"148","KATOEN NATIE ITALIA (GRUPPO)","Cremona, Italia","CR","54.183.371","49.866.500","6.744.408","1.065.998","12,45","2,14","N.D.","N.D.",45.22086405,10.0370379796289
131,131,"139","CAMPAGNOLO TRASPORTI SRL","Tezze Sul Brenta, Italia","VI","53.372.527","52.937.519","2.513.816","1.137.959","4,71","2,15","14,91","9,13",45.6861778,11.7041837
132,132,"224","FRATELLI COSULICH SPA","Genova, Italia","GE","53.270.909","32.090.737","1.698.580","773.966","3,19","2,41","8,44","3,81",44.40726,8.9338624
133,133,"130","AGENZIA MARITTIMA LE NAVI SPA","Genova, Italia","GE","52.800.581","55.586.108","7.030.939","7.599.515","13,32","13,67","12,18","14,98",44.40726,8.9338624
134,134,"176","TRANSBOZEN LOGISTIK","Laion, Italia","BZ","51.995.373","42.410.040","4.278.202","2.857.695","8,23","6,74","23,04","19,20",46.6092289,11.564263
135,135,"93","I-FAST AUTOMOTIVE LOGISTICS","Torino, Italia","TO","51.819.595","73.438.059","2.179.942","3.452.183","4,21","4,70","8,69","15,08",45.0677551,7.6824892
136,136,"157","CST LOGISTICA & TRASPORTI SRL","Scorze', Italia","VE","51.572.834","47.926.910","2.531.250","1.793.451","4,91","3,74","16,82","14,28",45.5713541,12.108383
138,137,"132","CARGO COMPASS SPA","Cormano, Italia","MI","51.445.083","54.827.312","-337.329","149.128","-0,66","0,27","-31,32","10,55",45.54451325,9.16762072996116
139,138,"173","VECTOR SPA","Castellanza, Italia","VA","51.241.336","43.569.379","668.950","239.465","1,31","0,55","26,27","11,22",45.6123744,8.8970383
140,139,"126","BURLOTTI SPEDIZIONI SPA","Darfo Boario Terme, Italia","BS","50.608.151","56.939.327","545.814","118.287","1,08","0,21","10,70","2,60",45.8834863,10.1807068
141,140,"156","LAZIALE DISTRIBUZIONE-LDI","Santa Palomba, Italia","RM","50.380.972","48.240.411","1.271.160","970.306","2,52","2,01","2,89","2,81",41.7063363,12.5769364
142,141,"159","ALBERTI GERMANO & SANTI R.NO","Cortemaggiore, Italia","PC","50.254.705","47.663.570","315.766","21.993","0,63","0,05","15,16","2,57",44.9963532,9.9310724
143,142,"151","T&TI CARGO LINE SRL","San Giuliano Milanese, Italia","MI","49.730.245","49.022.809","3.584.000","3.037.000","7,21","6,20","N.D.","N.D.",45.39427,9.291851
144,143,"142","MALPENSA LOGISTICA EUROPEA","Malpensa Cargo City, Italia","MI","49.664.142","51.489.719","5.046.827","4.631.033","10,16","8,99","29,79","32,17",45.61417455,8.71859407635851
145,144,"137","G.M.T. GENOA METAL TERM. SRL","Genova, Italia","GE","49.535.556","53.257.682","1.824.874","4.807.664","3,68","9,03","6,52","20,67",44.40726,8.9338624
146,145,"155","AUTOSPED G - SPA","Castelnuovo Scrivia, Italia","AL","49.196.778","48.299.595","3.368.279","3.786.770","6,85","7,84","4,51","5,31",44.9802488,8.8803561
147,146,"154","SAILPOST (CONSOL.)","Vecchiano, Italia","PI","48.345.059","48.431.928","377.542","917.907","0,78","1,90","6,71","16,51",43.783342,10.384403
148,147,"135","CUTI CONSAI SOC. COOPERATIVA","Imola, Italia","BO","47.810.064","53.447.081","263.000","344.304","0,55","0,64","3,80","5,44",44.3535145,11.7141233
149,148,"152","CONTAINERS FIDENZA CONSORZIO","Piacenza, Italia","PC","46.864.085","48.877.396","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",44.8476352,9.6665312576969
150,149,"133","GRUPPO FINESSO","Padova, Italia","PD","46.772.305","54.108.588","-160.822","672.575","-0,34","1,24","N.D.","N.D.",45.4077172,11.8734455
151,150,"229","A.BA.CO. SRL","San Giuseppe Vesuviano, Italia",NA,"46.659.981","31.551.613","1.046.149","131.143","2,24","0,42","11,47","1,62",40.829811,14.504436
152,151,"160","CONSERVA SPA","Bitonto, Italia","BA","46.623.652","47.540.862","2.865.000","1.435.000","6,14","3,02","N.D.","N.D.",41.1084971,16.691548
153,152,"149","PE.TRA SRL","Brembate, Italia","BG","46.412.894","49.325.586","494.477","2.186.161","1,07","4,43","9,44","45,85",45.6039279,9.5555981
154,153,"168","GALI GROUP SRL","Ispica, Italia","RG","45.179.696","44.528.907","2.161.119","379.453","4,78","0,85","18,09","6,03",36.7858319,14.907637
155,154,"143","ITALIANSPED SPA","Imola, Italia","BO","45.003.998","50.782.070","214.518","130.513","0,48","0,26","9,13","5,90",44.3535145,11.7141233
156,155,"141","KOINE' SPA","Madone, Italia","BG","44.784.253","52.729.554","1.123.209","4.675.863","2,51","8,87","10,83","50,53",45.6499571,9.5479634
157,156,"150","AVION COMPANY","Peschiera Borromeo, Italia","MI","44.498.471","49.242.452","-903.535","2.050.974","-2,03","4,17","-29,06","63,36",45.4425059,9.3045703113961
158,157,"174","EMBASSY FREIGHT SERVICES SPA","Gualtieri, Italia","RE","44.026.948","43.074.474","-593.238","-117.854","-1,35","-0,27","-26,89","-4,21",44.9050126,10.6302265
