"...1","POS. 22","POS. '21","RAGIONE SOCIALE","SEDE","PROV","FATTURATO ‘20","FATTURATO ’19","UTILE ‘20","UTILE ’19","ROS ‘20","ROS ‘19","ROE ‘20","ROE ‘19","lat","long"
770,760,"730","FRIGOGEL SRL","Senigallia, Italia","AN","4.589.196","5.876.705","18.790","155.921","0,41","2,65","1,60","12,67",43.7149517,13.2179488
771,761,"805","INTERMINAL SRL","Gaeta, Italia","LT","4.589.040","4.456.719","54.110","-190.873","1,18","-4,28","1,59","-7,88",41.218312,13.56281
772,762,"792","MERIDIONALE PETROLI SRL","Vibo Valentia, Italia","VV","4.583.645","4.633.536","1.680.802","1.516.068","36,67","32,72","15,27","16,26",38.6266556,16.0986934589464
773,763,"783","MOVIM. DEP. MERCI MDM","Aprilia, Italia","LT","4.583.592","4.850.438","-114.308","-27.710","-2,49","-0,57","-1403,07","-22,63",41.5942016,12.6485765
774,764,"823","ELLEDI SRL","Grassobbio, Italia","BG","4.583.063","4.246.590","332.563","114.056","7,26","2,69","4,82","1,74",45.6572304,9.7231068
775,765,"794","INTERNAT. CUSTOM SERV. I.C.S.","Genova, Italia","GE","4.580.742","4.616.884","321.232","239.886","7,01","5,20","17,95","16,33",44.40726,8.9338624
776,766,"826","LUCCI TRASPORTI SRL","Ravenna, Italia","RA","4.560.677","4.203.445","134.322","114.233","2,95","2,72","10,54","22,96",44.3640607,12.0590094908639
777,767,"832","GLOBAL CARGO SRL","Campi Bisenzio, Italia","FI","4.552.092","4.133.820","85.315","25.447","1,87","0,62","19,23","7,10",43.8216342,11.1366776
778,768,"765","FA BO ITAL SERVICE SRL","Legnano, Italia","MI","4.547.199","5.239.277","80.141","222.207","1,76","4,24","10,20","27,60",45.5946985,8.9183595
779,769,"858","SILOSWAY-BACCETTI SRL","Montelupo Fiorentino, Italia","FI","4.536.882","3.590.173","62.215","43.320","1,37","1,21","N.D.","26,80",43.7331531,11.0208768
780,770,"778","CASA DI SPEDIZIONI ROSSETTI","Piacenza, Italia","PC","4.533.420","4.947.401","-107.922","-35.220","-2,38","-0,71","-5,09","-1,58",44.8476352,9.6665312576969
781,771,"692","BRUCATO DE.TA. SPA","Palermo, Italia","PA","4.529.880","6.806.905","64.636","544.557","1,43","8,00","1,89","15,71",38.1112268,13.3524434
782,772,"845","BUFFO TRASPORTI SRL","Vazzola, Italia","TV","4.526.375","3.966.446","20.850","11.278","0,46","0,28","10,01","6,01",45.8377671,12.3840639
783,773,"846","LOMBARDA LOGISTICA SRL","Montichiari, Italia","BS","4.506.113","3.948.062","419.698","301.590","9,31","7,64","6,22","4,96",45.415181,10.390675
784,774,"762","GIORDO SRL","Genova, Italia","GE","4.483.354","5.311.130","96.536","38.808","2,15","0,73","52,32","44,11",44.40726,8.9338624
785,775,"772","FINSERVICE EUROPE SRL","Livorno, Italia","LI","4.469.002","5.054.508","23.098","165.290","0,52","3,27","3,20","23,63",42.7902166,10.340278678735
786,776,"787","SO.GE.MAR. SPA","Rho, Italia","MI","4.466.027","4.750.666","3.084.818","4.775.150","69,07","100,52","19,61","27,34",45.528878,9.04156
787,777,"838","MARIO VINELLA SRL","Putignano, Italia","BA","4.456.535","4.042.130","89.965","8.662","2,02","0,21","4,36","0,44",40.8492021,17.1226371
788,778,"807","MAZZOLENI E FACORI S.I. SRL","Monrupino, Italia","TS","4.425.980","4.437.409","133.952","108.913","3,03","2,45","17,05","16,05",45.7178121,13.7974450588247
789,779,"797","GAMMA SRL TRASPORTI ITALIA","Brescia, Italia","BS","4.409.811","4.563.510","58.432","5.342","1,33","0,12","16,15","1,76",45.77958045,10.4258729694612
790,780,"848","LS LOGISTICA SANITARIA SRL","Raldon, Italia","VR","4.396.577","3.851.771","140.987","60.869","3,21","1,58","30,99","24,19",45.3496723,11.047128
791,781,"820","M.C.S. MEDIT. CUSTOMS SERV.","La Spezia, Italia","SP","4.339.764","4.308.174","78.805","74.643","1,82","1,73","19,14","22,42",44.23836595,9.69123263454754
792,782,"799","ROMASPED SPA","Aprilia, Italia","LT","4.298.074","4.556.457","5.539","3.454","0,13","0,08","3,32","2,14",41.5942016,12.6485765
793,783,"670","AIR ENTERPRISE SRL","San Giuliano Milanese, Italia","MI","4.290.593","7.185.606","-670.324","-64.749","-15,62","-0,90","N.D.","-41,17",45.39427,9.291851
794,784,"810","SPEDBOR SRL","Briga Novarese, Italia","NO","4.289.001","4.389.445","364.801","306.781","8,51","6,99","15,24","15,12",45.731871,8.456726
795,785,"813","MICHELE AUTUORI SRL","Salerno, Italia","SA","4.253.396","4.376.287","21.529","227.811","0,51","5,21","6,02","33,20",40.41944165,15.3107562303225
796,786,"814","SOMAGLIA SRL","Somaglia, Italia","LO","4.246.493","4.368.000","58.631","18.635","1,38","0,43","4,41","1,35",45.1467201,9.6379307
797,787,"862","DELMA GROUP SRL","Casalnuovo Di Napoli, Italia",NA,"4.231.232","3.572.446","251.994","38.287","5,96","1,07","N.D.","N.D.",40.9148194,14.3511247
798,788,"806","ITALBALTIC SRL","Agrate Brianza, Italia","MB","4.228.652","4.448.291","4.334","2.101","0,10","0,05","11,42","6,25",45.5761735,9.3509475
799,789,"827","INTRA EXPRESS SRL","Gravellona Toce, Italia","VB","4.220.171","4.168.890","21.063","12.234","0,50","0,29","15,90","10,98",45.930175,8.431222
800,790,"801","D.G. CARGO SRL","Bari, Italia","BA","4.218.147","4.553.273","142.642","75.276","3,38","1,65","10,35","5,64",41.1257843,16.8620293
801,791,"N.D.","MARCONI FREDDEUROPA","San Benedetto D/Tronto, Italia","AP","4.217.438","3.753.888","-534.092","N.D.","-12,66","N.D.","N.D.","N.D.",42.9545224,13.8846335
802,792,"756","BATRANS SRL","Nichelino, Italia","TO","4.192.667","5.501.092","2.669","-123.174","0,06","-2,24","0,89","-41,59",44.9955182,7.6466179
803,793,"795","LUVITRANS INTERNATIONAL","Concorezzo, Italia","MB","4.176.002","4.613.866","-119.219","3.770","-2,85","0,08","-44,09","0,97",45.589675,9.335948
804,794,"719","AREMA FOOD LOGISTICS","Belpasso Piano Tavola, Italia","CT","4.174.587","6.106.259","-1.437.706","-177.419","-34,44","-2,91","-168,05","-7,74",37.5355086,14.9852065
805,795,"834","DOGE INTERNATIONAL SRL","Venezia, Italia","VE","4.174.313","4.127.439","24.929","29.386","0,60","0,71","16,39","23,10",45.4371908,12.3345898
806,796,"N.D.","TRASP. FRIG. PORTOVIRESI","Porto Viro, Italia","RO","4.169.272","4.099.060","43.395","91.800","1,04","2,24","N.D.","N.D.",45.0253113,12.2252372
807,797,"752","AGAN SRL","Burago Di Molgora, Italia","MI","4.150.928","5.524.927","22.011","199.096","0,53","3,60","2,82","26,29",45.5966599,9.3777061
808,798,"863","G.C.T. VICENZA SRL","Vicenza, Italia","VI","4.127.428","3.537.062","35.740","36.486","0,87","1,03","33,67","51,81",45.63485905,11.4063542566025
809,799,"786","STELLA OPERAZ. DOGANALI","Bentivoglio, Italia","BO","4.127.382","4.819.947","132.540","223.998","3,21","4,65","10,28","19,36",44.6357918,11.4171933
810,800,"868","ALBATROS 2001 SRL","Settimo Milanese, Italia","MI","4.124.700","3.364.904","-55.158","12.451","-1,34","0,37","-44,63","6,97",45.4794715,9.0546807
811,801,"761","S.T.I. INTERNAZIONALE SPA","Oppeano, Italia","VR","4.119.149","5.332.407","6.279","159.643","0,15","2,99","0,63","12,92",45.3062139,11.1823399
812,802,"860","G.W.G. SRL","Cavenago Brianza, Italia","MI","4.090.639","3.584.658","32.108","2.940","0,78","0,08","3,13","11,59",45.584917,9.4160593
813,803,"742","MATTIA WINKLER SPA","Gorizia, Italia","GO","4.031.487","5.687.527","-62.468","4.266","-1,55","0,08","-3,56","0,32",45.9441278,13.6252288
814,804,"841","BRAGATTO SRL","San Stino Di Livenza, Italia","VE","4.018.940","4.015.261","27.639","-139.034","0,69","-3,46","28,17","N.D.",45.7310782,12.6800084
